section|subsection|polity_name|polity_new_ID|polity_old_ID|variable_name|value_from|value_to|year_from|year_to|confidence|is_disputed|is_uncertain|expert_checked
General Variables|Identity and Location|Mongol Empire|mn_mongol_emp|MnMngKh|alternative_name|Mongolian Empire||||Confident|False|False|True
General Variables|Identity and Location|Rouran Khaganate|mn_rouran_khaganate|MnRourn|alternative_name|Jujan||||Confident|False|False|True
General Variables|Identity and Location|Uigur Khaganate|mn_uygur_khaganate|MnUigur|alternative_name|Uighur Empire||||Confident|False|False|True
General Variables|Identity and Location|Uigur Khaganate|mn_uygur_khaganate|MnUigur|alternative_name|Uygur||||Confident|False|False|True
General Variables|Identity and Location|Uigur Khaganate|mn_uygur_khaganate|MnUigur|alternative_name|Uyghur||||Confident|False|False|True
General Variables|Identity and Location|Xianbei Confederation|mn_xianbei|MnXianb|alternative_name|Hsien-pi||||Confident|False|False|True
General Variables|Identity and Location|Late Xiongnu|mn_hunnu_late|MnXngnL|alternative_name|Late Hsiung-nu||||Confident|False|False|True
General Variables|Identity and Location|Late Xiongnu|mn_hunnu_late|MnXngnL|alternative_name|Northern Xiongnu||||Confident|False|False|True
General Variables|Identity and Location|Xiongnu Imperial Confederation|mn_hunnu_emp|MnXngnM|alternative_name|Hsiung-nu||||Confident|False|False|True
General Variables|Identity and Location|Zungharian Empire|mn_zungharian_emp|MnZungh|alternative_name|Zungharia||||Confident|False|False|True
General Variables|Identity and Location|Zungharian Empire|mn_zungharian_emp|MnZungh|alternative_name|Zunghars||||Confident|False|False|True
General Variables|Identity and Location|Zungharian Empire|mn_zungharian_emp|MnZungh|alternative_name|Junghar||||Confident|False|False|True
General Variables|Identity and Location|Zungharian Empire|mn_zungharian_emp|MnZungh|alternative_name|Dzungar||||Confident|False|False|True
General Variables|Identity and Location|Early Monte Alban I|mx_monte_alban_1_early|MxAlb1E|alternative_name|Middle Preclassic||||Confident|False|False|True
General Variables|Identity and Location|Early Monte Alban I|mx_monte_alban_1_early|MxAlb1E|alternative_name|Middle Formative||||Confident|False|False|True
General Variables|Identity and Location|Early Monte Alban I|mx_monte_alban_1_early|MxAlb1E|alternative_name|Monte Albán 1a (and 1b)||||Confident|False|False|True
General Variables|Identity and Location|Monte Alban Late I|mx_monte_alban_1_late|MxAlb1L|alternative_name|Monte Albán ||||Confident|False|False|True
